"Sample_seq_ID","Animal_ID","Sex","Cage","Body_mass_g","Collection_date","Facility","Chronological_age_days","Epigenetic_age_days_Clock1","Epigenetic_age_days_Clock2"
"96-1_1","15","Male","5",NA,"18/10/2021","Facility A",12,14.4971352074956,25.4223400990471
"96-1_10","16","Male","6",NA,"18/10/2021","Facility A",22,21.9325025710661,24.4736492242868
"96-1_11","33","Male","11",NA,"18/10/2021","Facility A",24,26.5997426942784,46.6876109100337
"96-1_12","MCUR20.5b","Female","C00079971",36.2,"20/05/2021","Facility B",266,251.966923482733,220.703434898024
"96-1_13","MCUR20.7a","Male","C00087205",37.6,"07/06/2021","Facility B",228,227.824200641864,191.47107723961
"96-1_17","35","Female","12",NA,"18/10/2021","Facility A",25,15.5062650824905,41.7774021831894
"96-1_18","32","Male","10",NA,"18/10/2021","Facility A",64,70.9882517780057,77.0396447530702
"96-1_19","34","Male","11",NA,"18/10/2021","Facility A",24,18.0845777821763,24.1752205251446
"96-1_2","31","Male","10",NA,"18/10/2021","Facility A",64,49.4795633983686,52.0946927323678
"96-1_20","MCUR22.1b","Male","C00091454",32.4,"07/06/2021","Facility B",194,189.263466167229,151.430484220095
"96-1_22","MCUR23.1c","Female","C00090961",18.4,"10/05/2021","Facility B",168,169.086443551562,166.565741207327
"96-1_23","MCUR23.3a","Male","C00096262",28.7,"10/05/2021","Facility B",126,122.43271118316,88.3693416990397
"96-1_25","3","Female","1",NA,"18/10/2021","Facility A",124,113.450328352872,112.788199945771
"96-1_26","10","Female","4",NA,"18/10/2021","Facility A",81,80.1626988812681,91.6927532379554
"96-1_27","37","Female","13",NA,"18/10/2021","Facility A",16,30.3367258053548,54.6107041683322
"96-1_28","MCUR23.1b","Female","C00090961",25.2,"10/05/2021","Facility B",168,155.436005670169,133.149945066513
"96-1_33","17","Male","6",NA,"18/10/2021","Facility A",22,22.0396141666358,24.2667910467099
"96-1_34","41","Male","14",NA,"18/10/2021","Facility A",20,26.2746309575896,33.690142305725
"96-1_35","29","Male","9",NA,"18/10/2021","Facility A",46,49.6809525073521,54.9135084398813
"96-1_37","MCUR22.1a","Male","C00091454",34.2,"07/06/2021","Facility B",194,202.693001112205,203.534332337325
"96-1_4","MCUR20.5c","Female","C00079971",31.2,"20/05/2021","Facility B",266,256.223474948917,213.106178617345
"96-1_41","12","Male","5",NA,"18/10/2021","Facility A",12,9.67575860673831,34.356197861178
"96-1_42","21","Female","7",NA,"18/10/2021","Facility A",22,34.5258221837468,43.5992279762211
"96-1_43","42","Female","14",NA,"18/10/2021","Facility A",20,26.3084340219505,42.2979121004485
"96-1_45","MCUR20.7b","Male","C00087205",36.1,"07/06/2021","Facility B",228,214.877062956027,161.959203427105
"96-1_49","5","Female","2",NA,"18/10/2021","Facility A",120,126.360986515325,116.710233412053
"96-1_50","23","Female","7",NA,"18/10/2021","Facility A",22,25.5298958674093,65.616541425457
"96-1_51","11","Female","5",NA,"18/10/2021","Facility A",12,19.4719797475488,29.5334678230369
"96-1_57","38","Female","13",NA,"18/10/2021","Facility A",16,12.889120013193,24.338238372861
"96-1_58","36","Female","12",NA,"18/10/2021","Facility A",25,24.4148186495177,42.0892179746831
"96-1_59","25","Male","8",NA,"18/10/2021","Facility A",33,43.7953764660526,64.2765058242557
"96-1_61","MCUR22.1d","Male","C00091454",30.9,"07/06/2021","Facility B",194,187.182739266899,155.025025314842
"96-1_62","MCUR22.3c","Male","C00096262",30.4,"10/05/2021","Facility B",124,132.900575931092,116.517626337119
"96-1_65","40","Male","13",NA,"18/10/2021","Facility A",111,95.0335845347532,84.5684424556495
"96-1_66","7","Female","3",NA,"18/10/2021","Facility A",13,8.82756662252128,33.6118819931994
"96-1_73","2","Male","1",NA,"18/10/2021","Facility A",124,123.486354681273,135.522817523633
"96-1_74","4","Male","2",NA,"18/10/2021","Facility A",7,4.06541700934671,34.2408918523025
"96-1_76","MCUR19.4e","Female","C00072610",30.6,"20/05/2021","Facility B",339,337.983510550519,313.068298992214
"96-1_81","30","Male","9",NA,"18/10/2021","Facility A",46,58.4964291146917,81.9939502595333
"96-1_82","1","Female","1",NA,"18/10/2021","Facility A",9,7.51777325025316,24.2169402212447
"96-1_85","MCUR20.5e","Female","C00079971",30.5,"20/05/2021","Facility B",266,289.749923600157,258.795180271999
"96-1_89","39","Female","13",NA,"18/10/2021","Facility A",118,128.862658808946,126.622093944537
"96-1_9","26","Male","8",NA,"18/10/2021","Facility A",33,28.4116129552248,37.8843747239639
"96-1_90","13","Female","5",NA,"18/10/2021","Facility A",12,21.6013311355664,21.9736203491848
"96-1_93","MCUR19.4c","Female","C00072610",29.3,"20/05/2021","Facility B",339,330.683273109073,269.331768266173
"96-4_2","MCUR26.1e","Female","C00127404",15.1,"29/09/2021","Facility B",29,32.3822498865462,67.733074011378
"96-4_22","MCUR26.1f","Female","C00127404",14.8,"29/09/2021","Facility B",29,22.1272114120882,40.8702762899326
"96-4_56","24","Male","8",NA,"18/10/2021","Facility A",33,47.2718527063594,64.507976721866
"96-4_59","28","Male","8",NA,"18/10/2021","Facility A",33,25.4295865284416,52.365025756395
"96-4_60","MCUR23.4b","Male","C00103824",33.9,"23/11/2021","Facility B",266,255.177877925947,213.41079366074
"96-1_14","MCUR25.1a","Male","C00115156",27.3,"17/08/2021","Facility B",85,75.6861368655824,77.9046342362394
"96-1_29","MCUR23.7f","Female","C00115157",21.2,"19/07/2021","Facility B",54,83.2406507104922,85.7859682654259
"96-1_3","MCUR23.7c","Male","C00115156",28.7,"02/09/2021","Facility B",99,25.0523619730672,43.8419924677081
"96-1_31","MCUR25.1b","Female","C00115157",25.2,"02/09/2021","Facility B",101,88.6438735101902,104.824565235651
"96-1_67","MCUR23.7b","Male","C00116613",23.9,"19/07/2021","Facility B",54,8.1618828561754,34.3585875362437
"96-1_69","MCUR23.7e","Female","C00115157",21.7,"02/09/2021","Facility B",99,82.3062334091068,88.5100753413175
"96-1_75","MCUR23.7e","Female","C00115157",20.9,"19/07/2021","Facility B",54,44.5955202173847,55.390468732421
"96-1_84","MCUR23.7c","Male","C00115156",24.8,"19/07/2021","Facility B",54,47.3826364845987,57.9125963437905
"96-1_94","MCUR23.7b","Male","C00116613",30.1,"02/09/2021","Facility B",99,87.221125959009,105.230240324879
"96-4_10","MCUR23.4c","Male","C00103824",32.7,"23/11/2021","Facility B",266,293.810646548125,220.990282382114
"96-4_15","MCUR23.4f","Female","C00103825",21.8,"20/05/2021","Facility B",79,48.5703511545921,56.0964892820683
"96-4_17","MCUR23.4f","Female","C00103825",25.9,"23/11/2021","Facility B",266,166.401964845189,174.615076043458
"96-4_18","MCUR23.4g","Female","C00103825",25.9,"23/11/2021","Facility B",266,305.162452425694,233.949947719401
"96-4_20","MCUR23.4h","Female","C00103825",26.8,"23/11/2021","Facility B",266,272.637727543874,207.365630032704
"96-4_32","MCUR23.7f","Female","C00115157",22,"02/09/2021","Facility B",99,202.501255284184,169.769228822188
"96-4_35","MCUR23.7a","Male","C00116613",28.9,"02/09/2021","Facility B",99,118.247895987352,100.452471563408
"96-4_38","MCUR23.7d","Male","C00115156",30.7,"02/09/2021","Facility B",99,122.352493041551,85.293894509114
"96-4_40","MCUR23.4e","Male","C00103824",24.2,"10/05/2021","Facility B",69,62.3863103686742,37.1332088415599
"96-4_41","MCUR23.4e","Male","C00103824",34.5,"23/11/2021","Facility B",266,194.098315166232,181.924864245125
"96-4_43","MCUR23.4d","Male","C00103824",33.6,"23/11/2021","Facility B",266,281.6646510972,221.719496348609
"96-4_45","MCUR23.4g","Female","C00103825",21,"20/05/2021","Facility B",79,128.517357281021,138.491139291654
"96-4_47","MCUR23.7a","Male","C00116613",25.2,"19/07/2021","Facility B",54,81.3696815188889,80.8822971166072
"96-4_51","MCUR23.4h","Female","C00103825",23.1,"20/05/2021","Facility B",79,73.9690423940252,87.2345719781262
"96-4_54","MCUR23.4d","Male","C00103824",23.1,"10/05/2021","Facility B",69,52.1757105729809,92.7336801281396
"96-4_57","MCUR23.4a","Male","C00103824",24.2,"10/05/2021","Facility B",69,62.7351509065534,82.0482043438323
"96-4_58","MCUR23.4a","Male","C00103824",32,"23/11/2021","Facility B",266,394.225619850009,307.722918354893
"96-4_6","MCUR23.7d","Male","C00115156",25.6,"19/07/2021","Facility B",54,97.5196555900154,96.4148396916651
"96-4_7","MCUR23.4c","Male","C00103824",22.7,"10/05/2021","Facility B",69,29.6058321806366,124.811207589366
"96-4_8","MCUR25.1b","Female","C00115157",19.2,"19/07/2021","Facility B",56,39.6474903673134,65.9442455229844
"96-4_9","MCUR25.1a","Male","C00115156",26.3,"19/07/2021","Facility B",56,57.9943620683721,69.6814522293587
