Sample_seq_ID,Sample_source,Collection_date,Animal_ID,Age_category,Body_length_mm,Body_mass_g,Trapping_site,Reproduction_information,Sex,Epigenetic_age_days_Clock2
24-1_12,Skokholm,11/07/2019,SK0026,Juvenile,NA,10.8,Observatory,Testes abdominal,Male,92.71440275
24-1_13,Skokholm,23/08/2020,SK0057,Adult,88.8,21.1,Quarry,Testes abdominal,Male,323.0550503
24-1_14,Skokholm,11/07/2019,SK0005,Adult,NA,26,Observatory,"Imperforate, Nipples",Female,411.7764003
24-1_15,Skokholm,13/07/2019,SK0029,Sub-adult,NA,15,Quarry,Testes small,Female,50.59367263
24-1_16,Skokholm,16/07/2019,SK0039,Adult,NA,26.3,Observatory,"Imperforate, Nipples",Female,301.5334517
24-1_17,Skokholm,12/07/2019,SK0028,Adult,NA,20.8,Quarry,"Imperforate, Nipples",Female,325.6484929
24-1_19,Skokholm,27/09/2019,SK0029,Adult,NA,28.9,Quarry,Imperforate,Female,390.479804
24-1_2,Skokholm,01/10/2019,SK0019,NA,NA,NA,Observatory,NA,Male,388.4394358
24-1_20,Skokholm,01/10/2019,SK0179,Adult,93,23.3,Observatory,Testes large,Male,183.2936062
24-1_21,Skokholm,26/09/2019,X041A556CB0,Adult,84,23.5,Quarry,Testes small,Male,381.4572468
24-1_22,Skokholm,26/09/2019,SK0034,Adult,79.9,20.5,Quarry,Testes small,Male,163.807414
24-1_23,Skokholm,19/09/2019,SK0028,Adult,92,23.2,Quarry,Imperforate,Female,358.8488816
24-1_24,Skokholm,04/09/2020,SK0250,Juvenile,60,13.4,Observatory,Testes abdominal,Male,98.19445558
24-1_3,Skokholm,17/07/2019,SK0045,Sub-adult,NA,18.3,Observatory,Imperforate,Female,173.1293227
24-1_4,Skokholm,01/10/2019,SK0039,NA,NA,NA,Observatory,NA,Female,298.2901848
24-1_5,Skokholm,01/10/2019,SK0026,NA,NA,NA,Observatory,NA,Male,159.3579641
24-1_6,Skokholm,23/09/2019,SK0006,Adult,NA,34.7,Observatory,"Pregnant, Perforate, Nipples",Female,380.0363203
24-1_7,Skokholm,09/07/2019,SK0010,Adult,NA,37.7,Observatory,"Pregnant, Nipples",Female,349.30055
24-1_8,Skokholm,17/07/2019,SK0043,Adult,NA,21.3,Observatory,Imperforate,Female,365.2520313
24-1_9,Skokholm,19/07/2019,X041A556696,Adult,NA,23.6,Quarry,Imperforate,Female,334.7702823
24-2_1,Skokholm,24/09/2020,SK0247,Juvenile,64.8,11.6,Quarry,Testes abdominal,Male,138.1818586
24-2_10,Skokholm,10/07/2019,SK0019,Adult,NA,25.9,Observatory,Testes small,Male,358.2047499
24-2_11,Skokholm,22/09/2019,SK0010,Adult,99.5,43,Observatory,"Pregnant, Imperforate",Female,386.2948735
24-2_12,Skokholm,18/09/2019,SK0057,Adult,86.8,20.4,Quarry,Testes large,Male,179.4845726
24-2_13,Skokholm,01/10/2019,SK0005,Adult,99.5,25.8,Observatory,Imperforate,Female,246.6034902
24-2_14,Skokholm,12/09/2020,X041A1F31EF,Juvenile,64,11.4,Quarry,Testes abdominal,Male,108.7122298
24-2_15,Skokholm,26/09/2020,SK0250,Sub-adult,82.9,19.2,Observatory,Testes small,Male,130.5465536
24-2_17,Skokholm,30/09/2019,SK0001,Adult,98.2,27.2,Observatory,Imperforate,Female,398.8969314
24-2_18,Skokholm,01/10/2019,SK0003,NA,NA,NA,Observatory,NA,Female,366.7124381
24-2_19,Skokholm,19/09/2019,SK0009,Adult,92.4,24.8,Quarry,NA,Male,424.5275162
24-2_2,Skokholm,14/07/2019,SK0034,Juvenile,NA,10.8,Quarry,Testes abdominal,Male,77.90772097
24-2_20,Skokholm,12/07/2019,SK0009,Adult,NA,24.2,Quarry,Testes small,Male,253.7016648
24-2_21,Skokholm,10/07/2019,SK0006,Adult,NA,32.6,Observatory,"Nipples, Imperforate",Female,343.3710465
24-2_22,Skokholm,20/09/2019,SK0054,Adult,78,26.2,Quarry,Imperforate,Female,388.9241914
24-2_23,Skokholm,28/09/2020,SK0223,Juvenile,71.9,10.2,Observatory,Imperforate,Unclear,182.9537244
24-2_3,Skokholm,04/09/2020,SK0179,Adult,90.3,22.1,Observatory,Testes abdominal,Male,366.4646615
24-2_6,Skokholm,18/09/2019,SK0053,Sub-adult,63.6,16.6,Quarry,Imperforate,Female,203.629586
24-2_7,Skokholm,25/09/2019,SK0035,Adult,88.2,24.9,Quarry,Imperforate,Female,78.16849982
24-2_8,Skokholm,01/10/2019,SK0043,NA,NA,NA,Observatory,NA,Female,230.9039519
24-2_9,Skokholm,30/09/2019,SK0045,Adult,92.2,20.5,Observatory,Imperforate,Female,167.8937287
